DEBUG 2024-10-10 12:51:21,194 autoreload File C:\Users\cmadaria\Miniconda3\Lib\genericpath.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,195 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\lib\npyio.py first seen with mtime 1725286597.159003
DEBUG 2024-10-10 12:51:21,195 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\interchange\from_dataframe.py first seen with mtime 1682339319.2618873
DEBUG 2024-10-10 12:51:21,196 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\workbook\properties.py first seen with mtime 1692801713.2121813
DEBUG 2024-10-10 12:51:21,196 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\io\json\__init__.py first seen with mtime 1682339320.3230832
DEBUG 2024-10-10 12:51:21,197 autoreload File C:\Users\cmadaria\Miniconda3\Lib\asyncio\windows_utils.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,197 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1728485723.0515258
DEBUG 2024-10-10 12:51:21,197 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1728485723.040528
DEBUG 2024-10-10 12:51:21,198 autoreload File C:\Users\cmadaria\Miniconda3\Lib\email\generator.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,198 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1728485724.934435
DEBUG 2024-10-10 12:51:21,198 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pytz\exceptions.py first seen with mtime 1671698400.0
DEBUG 2024-10-10 12:51:21,198 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\lib\index_tricks.py first seen with mtime 1725286597.1143785
DEBUG 2024-10-10 12:51:21,199 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_libs\window\__init__.py first seen with mtime 1682339317.2469673
DEBUG 2024-10-10 12:51:21,199 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1728485723.400659
DEBUG 2024-10-10 12:51:21,200 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\drawing\properties.py first seen with mtime 1692801712.71036
DEBUG 2024-10-10 12:51:21,200 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1728485723.421997
DEBUG 2024-10-10 12:51:21,201 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\utils\decorators.py first seen with mtime 1728485726.4903066
DEBUG 2024-10-10 12:51:21,201 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1728485694.3011608
DEBUG 2024-10-10 12:51:21,201 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\packaging\manifest.py first seen with mtime 1692801712.8646603
DEBUG 2024-10-10 12:51:21,202 autoreload File C:\Users\cmadaria\Miniconda3\Lib\urllib\parse.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,202 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1728485694.2227547
DEBUG 2024-10-10 12:51:21,202 autoreload File C:\Users\cmadaria\Miniconda3\Lib\asyncio\exceptions.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,202 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\forms\forms.py first seen with mtime 1728485725.0844085
DEBUG 2024-10-10 12:51:21,203 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\computation\expr.py first seen with mtime 1682339318.7071247
DEBUG 2024-10-10 12:51:21,203 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_config\__init__.py first seen with mtime 1682339314.7443275
DEBUG 2024-10-10 12:51:21,204 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\dateutil\tz\__init__.py first seen with mtime 1626374693.0
DEBUG 2024-10-10 12:51:21,205 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\dtypes\cast.py first seen with mtime 1682339318.8098853
DEBUG 2024-10-10 12:51:21,206 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\indexes\range.py first seen with mtime 1682339319.1927593
DEBUG 2024-10-10 12:51:21,207 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\chart\legend.py first seen with mtime 1692801712.1812174
DEBUG 2024-10-10 12:51:21,208 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\signing.py first seen with mtime 1728485723.006002
DEBUG 2024-10-10 12:51:21,208 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\arrays\sparse\array.py first seen with mtime 1682339318.6168954
DEBUG 2024-10-10 12:51:21,209 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\__init__.py first seen with mtime 1728485722.9650173
DEBUG 2024-10-10 12:51:21,209 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\ops\__init__.py first seen with mtime 1682339319.4231963
DEBUG 2024-10-10 12:51:21,209 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\core\_internal.py first seen with mtime 1725286593.8334794
DEBUG 2024-10-10 12:51:21,210 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1728485723.4479918
DEBUG 2024-10-10 12:51:21,210 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\compat\pyarrow.py first seen with mtime 1682339317.8860521
DEBUG 2024-10-10 12:51:21,210 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\io\excel\_odswriter.py first seen with mtime 1682339320.038946
DEBUG 2024-10-10 12:51:21,211 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\formatting\formatting.py first seen with mtime 1692801712.7447734
DEBUG 2024-10-10 12:51:21,211 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\apps\config.py first seen with mtime 1728485690.7528725
DEBUG 2024-10-10 12:51:21,212 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\linalg\_umath_linalg.cp310-win_amd64.pyd first seen with mtime 1725286597.6729186
DEBUG 2024-10-10 12:51:21,212 autoreload File C:\Users\cmadaria\Miniconda3\DLLs\_queue.pyd first seen with mtime 1673450229.0
DEBUG 2024-10-10 12:51:21,212 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\chart\surface_chart.py first seen with mtime 1692801712.43444
DEBUG 2024-10-10 12:51:21,213 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\pivot\record.py first seen with mtime 1692801712.9075992
DEBUG 2024-10-10 12:51:21,213 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\ops\missing.py first seen with mtime 1682339319.5001967
DEBUG 2024-10-10 12:51:21,213 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\styles\stylesheet.py first seen with mtime 1692801713.034804
DEBUG 2024-10-10 12:51:21,214 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\template\engine.py first seen with mtime 1728485726.020518
DEBUG 2024-10-10 12:51:21,214 autoreload File C:\Users\cmadaria\Miniconda3\Lib\email\message.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,215 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\io\pickle.py first seen with mtime 1682339319.9228878
DEBUG 2024-10-10 12:51:21,215 autoreload File C:\Users\cmadaria\Miniconda3\Lib\asyncio\constants.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,215 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\utils\indexed_list.py first seen with mtime 1692801713.1275084
DEBUG 2024-10-10 12:51:21,216 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\chart\picture.py first seen with mtime 1692801712.1995924
DEBUG 2024-10-10 12:51:21,216 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1728485688.905236
DEBUG 2024-10-10 12:51:21,217 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\workbook\views.py first seen with mtime 1692801713.2444887
DEBUG 2024-10-10 12:51:21,217 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1728485715.1947894
DEBUG 2024-10-10 12:51:21,217 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\chart\pie_chart.py first seen with mtime 1692801712.3300061
DEBUG 2024-10-10 12:51:21,218 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_libs\interval.cp310-win_amd64.pyd first seen with mtime 1682339315.3771698
DEBUG 2024-10-10 12:51:21,218 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1728485718.7743816
DEBUG 2024-10-10 12:51:21,218 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1728485726.632362
DEBUG 2024-10-10 12:51:21,219 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\arrays\datetimes.py first seen with mtime 1682339318.4071043
DEBUG 2024-10-10 12:51:21,219 autoreload File C:\Users\cmadaria\Miniconda3\Lib\ast.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,219 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_libs\tslibs\parsing.cp310-win_amd64.pyd first seen with mtime 1682339316.6918695
DEBUG 2024-10-10 12:51:21,220 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1672618652.0
DEBUG 2024-10-10 12:51:21,222 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\drawing\effect.py first seen with mtime 1692801712.6709962
DEBUG 2024-10-10 12:51:21,223 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\packaging\extended.py first seen with mtime 1692801712.8417954
DEBUG 2024-10-10 12:51:21,223 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1728485724.6004128
DEBUG 2024-10-10 12:51:21,224 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\openpyxl\drawing\relation.py first seen with mtime 1692801712.7163587
DEBUG 2024-10-10 12:51:21,224 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\_libs\missing.cp310-win_amd64.pyd first seen with mtime 1682339315.604834
DEBUG 2024-10-10 12:51:21,224 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1728485724.0590892
DEBUG 2024-10-10 12:51:21,225 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\pandas\core\window\expanding.py first seen with mtime 1682339319.7677999
DEBUG 2024-10-10 12:51:21,226 autoreload File C:\Users\cmadaria\Miniconda3\Lib\struct.py first seen with mtime 1670351481.0
DEBUG 2024-10-10 12:51:21,226 autoreload File C:\Users\cmadaria\Miniconda3\Lib\site-packages\numpy\core\_methods.py first seen with mtime 1725286593.8557835
DEBUG 2024-10-10 12:51:21,227 autoreload File C:\Users\cmadaria\Miniconda3\DLLs\unicodedata.pyd first seen with mtime 1673450233.0
